abb,name
AAR,Aarau
ABB,Athletic Bilbao
ACC,Accrington
AJA,Ajaccio
AKP,Amkar Perm
ALM,Almeria
AMD,Atletico Madrid
AME,America
ARS,Arsenal
ARS,Arsenal Tula
ASS,Saint Etienne
AST,Aston Villa
ATA,Atalanta
AUG,Augsburg
BAR,Barcelona
BAR,Barnsley
BAS,Basel
BAS,Bastia
BAY,Bayer Leverkusen
BES,Besiktas
BHA,Brighton
BIR,Birmingham
BLA,Blackburn Rovers
BLA,Blackpool
BOL,Bolton Wanderers
BOR,Bordeaux
BOU,Bournemouth
BRA,Bradford City
BRE,Brentford
BRE,Werder Bremen
BRI,Bristol City
BUR,Burnley
BUR,Burton Albion
BUR,Bury
BUR,Bursaspor
CAE,Caen
CAG,Cagliari
CAM,Cambridge United
CAR,Cardiff City
CAR,Carlisle United
CCR,Columbus Crew
CES,Cesena
CHA,Charlton
CHE,Chelsea
CHE,Chesterfield
CHF,Chicago Fire
CHL,Cheltenham
CHV,Chievo
CKM,CSKA Moscow
CLV,Celta Vigo
COD,Cordoba
COL,Colchester United
COV,Coventry City
CRA,Crawley Town
CRE,Crewe
CRP,Colorado Rapids
DAG,Dagenham and Redbridge
DCU,DC United
DEP,Deportivo
DER,Derby County
DNM,Dynamo Moscow
DON,Doncaster
DOR,Borussia Dortmund
EBA,Eibar
EIN,Eintracht Frankfurt
ELE,Elche
EMP,Empoli
ESP,Espanyol
EVA,Evian
EVE,Everton
EXE,Exeter
FCD,Dallas
FEN,Fenerbahce
FIR,Fiorentina
FLE,Fleetwood
FOR,Nottingham Forest
FRE,Freiburg
FUL,Fulham
GAL,Galatasaray
GAL,Gallen
GAZ,Gaziantepspor
GEN,Genoa
GET,Getafe
GIL,Gillingham
GRA,Granada
GRA,Grasshoppers
GUN,Guingamp
HAM,Hamburger
HAN,Hannover
HAR,Hartlepool
HER,Hertha
HOF,Hoffenheim
HSD,Houston Dynamo
HUD,Huddersfield
HUL,Hull City
INT,Inter Milan
IPS,Ipswich
ISB,Istanbul Buyuksehir
JUV,Juventus
KAZ,Rubin Kazan
KKA,Kuban Krasnodar
KOL,Koln
KRA,Krasnodar
LAZ,Lazio
LEE,Leeds United
LEI,Leicester City
LEN,Lens
LEV,Levante
LEY,Leyton Orient
LGX,LA Galaxy
LIL,Lille
LIV,Liverpool
LKM,Lokomotiv Moscow
LOR,Lorient
LUC,Lucerne
LUT,Luton
LYN,Lyon
MAI,Mainz
MAL,Malaga
MAN,Mansfield Town
MAR,Marseille
MET,Metz
MID,Middlesbrough
MIL,Millwall
MIL,Milan
MKD,MK Dons
MNC,Manchester City
MNU,Manchester United
MON,Monaco
MON,Borussia Monchengladbach
MOR,Morecambe
MOR,Mordovia
MOT,Montpellier
MTI,Montreal Impact
MUN,Bayern Munich
NAN,Nantes
NAP,Napoli
NEW,Newcastle United
NEW,Newport
NIC,Nice
NOR,Norwich
NOR,Northampton
NOT,Notts County
NRB,New York Red Bulls
NWE,New England
OLD,Oldham
ORL,Orlando City
OXF,Oxford United
PAD,Paderborn
PAL,Crystal Palace
PAL,Palermo
PAR,Parma
PET,Peterborough
PLY,Plymouth
POR,Portsmouth
PRE,Preston
PSG,Paris Saint German
PTT,Portland Timbers
PUN,Philadelphia Union
PVL,Port Vale
QPR,Queens Park Rangers
REA,Reading
REN,Rennes
RMD,Real Madrid
ROC,Rochdale
ROM,Roma
ROS,Rostov
ROT,Rotherham United
RSD,Real Sociedad
RSL,Real Salt Lake
RVA,Rayo Vallecano
SAM,Sampdoria
SAS,Sassuolo
SCK,Schalke
SCU,Scunthorpe
SDR,Stade Reims
SEV,Sevilla
SHR,Shrewsbury
SHU,Sheffield United
SHW,Sheffield Wednesday
SJE,Earthquakes
SKC,Sporting Kansas City
SOT,Southampton
SOU,Southend United
SPA,Spartak Moscow
SSO,Seattle Sounders
SST,Sion Sitten
STE,Stevenage
STO,Stoke City
STU,Stuttgart
SUN,Sunderland
SWA,Swansea City
SWI,Swindon
THU,Thun
TMW,Torpedo Moscow
TOR,Torino
TOR,Toronto
TOT,Tottenham Hotspur
TOU,Toulouse
TRA,Tranmere Rovers
TRA,Trabzonspor
TRG,Terek Grozny
UDN,Udinese
UFA,Ufa
URA,Ural
VAD,Vaduz
VAL,Valencia
VCW,Vancouver Whitecaps
VER,Hellas Verona
VIL,Villarreal
WAL,Walsall
WAT,Watford
WBA,West Bromwich Albion
WHU,West Ham United
WIG,Wigan
WIM,Wimbledon
WOL,Wolves
WOL,Wolfsburg
WYC,Wycombe
YBY,Young Boys
YEO,Yeovil Town
YOR,York
ZEN,Zenit St-Petersburg
ZUR,Zurich
